Event Name,Event Date,Event Location,Event Type,Event Region,Location Longitude,Location Latitude,Temperature,Min Temperature,Max Temperature,Humidity,Description,Weather Description
Dr. Charan Ranganath,2/22/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Jack Parker,2/22/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Mountain Holler,2/22/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Northwest Blues Stars,2/22/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Kraken vs. Vancouver Canucks,2/22/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Shabaka,2/22/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Funky Friday with F2D,Now through 2/23/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,4.42,2.73,7.36,91,light rain,light rain
BLACKSTAR SYMPHONY: The Music of David Bowie,2/23/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Caligula’s Horse,2/23/2024,El Corazon,Music,Downtown,-78.9699948,-5.2464353,18.74,18.74,18.74,82,overcast clouds,overcast clouds
Lisa Koch Big Ass Birthday Bash,2/23/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Opera Talk: The Making of X,2/23/2024,Opera Center,Readings & Lectures,Queen Anne / Seattle Center,26.079138268508792,44.43358325,7.46,5.62,9.42,67,clear sky,clear sky
Tikkadoom and Nick Drummond,2/23/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Wreckno,2/23/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Kelly Akashi,Now through 2/24/2024,Henry Art Gallery,Museums,University District,-122.31173279895636,47.6565246,4.71,2.97,7.69,91,overcast clouds,overcast clouds
The Lower Depths,Now through 2/24/2024,Erickson Theatre,Theatre,Capitol Hill / Central District,-122.3217419,47.61467195,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Bassekou Kouyate and Vieux Farka Toure,2/22/2024 through 2/24/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Bassekou Kouyate and Vieux Farka Toure,2/24/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Crystal Skies,2/24/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Dan Brown Wild Symphony,2/24/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Dana Gould and Bobcat Goldthwait,2/24/2024,The Triple Door,Theatre,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Knoll,2/24/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Nate Jackson,2/24/2024,The Moore Theatre,Theatre,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Pink Sweat$,2/24/2024,The Showbox,Music,Downtown,-122.3394726,47.6085136,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Root and Branch,2/24/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Seattle Kraken vs. Minnesota Wild,2/24/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Small Island Big Song,2/24/2024,Meany Center for the Performing Arts,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
The Highsteppers Classic Soul Revue,2/24/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Tides of Times: A Conversation on Maritime Asia in Art and Trade,2/24/2024,Seattle Art Museum,Museums,Downtown,-122.3385575,47.6077008,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Born With Teeth,Now through 2/25/2024,ArtsWest Playhouse and Gallery,Theatre,West Seattle,,,Not found,Not found,Not found,Not found,Not found,
SAM Gallery Presents: Enter the Forest,Now through 2/25/2024,SAM Gallery,Visual Arts & Galleries,Downtown,-122.3352406,47.5999358,5.17,3.23,8,89,overcast clouds,overcast clouds
"Once More, Just For You",Now through 2/25/2024,Seattle Public Theater,Theatre,Wallingford / Greenlake,-122.3398325,47.6821341,4.54,2.92,7.3,92,light rain,light rain
Seattle Home & Garden Show,2/22/2024 through 2/25/2024,Lumen Field,Festivals & Special Events,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Wintergrass Music Festival,2/22/2024 through 2/25/2024,Hyatt Regency Bellevue,Festivals & Special Events,Bellevue / Eastside,-122.20116,47.618258,5.03,2.98,7.75,88,overcast clouds,overcast clouds
Klezmer Starts Here: The Music of Abe Schwartz,2/25/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.24,21.03,23.42,21,clear sky,clear sky
Telling the Story,2/25/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Cherry Glazerr,2/26/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Dick & Angel Dare to Do It,2/26/2024,The Paramount Theatre,Theatre,Downtown,-73.42561952873208,40.8697559,0.87,-0.14,2.19,66,clear sky,clear sky
Seattle Kraken vs. Boston Bruins,2/26/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Hunt for Sleeping Giants | National Geographic Live,2/25/2024 through 2/27/2024,Benaroya Hall,Readings & Lectures,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Big Tooth,2/27/2024,Sea Monster Lounge,Music,Wallingford / Greenlake,-122.332319,47.6615049,4.42,2.73,7.36,91,light rain,light rain
Eric Klinenberg,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Fresh Dressed – smARTfilms: Black Luxury,2/27/2024,Bainbridge Island Museum of Art,Museums,West,-122.51453295865404,47.6251322,4.7,3.14,7.77,91,overcast clouds,overcast clouds
Joy Harjo,2/27/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Kelsy Karter and The Heroines,2/27/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Ron Pope,2/27/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Anand Gopal,2/28/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Dianne Reeves,2/28/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
He Films The Clouds,2/28/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Kassa Overall,2/28/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Playboi Carti,2/28/2024,Climate Pledge Arena,Music,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Tommy Castro and The Painkillers,2/28/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Winter Brilliance,Now through 2/29/2024,Chihuly Garden and Glass,Museums,Queen Anne / Seattle Center,-122.35020712496446,47.6205296,4.87,3.05,7.82,89,light rain,light rain
Seattle Museum Month,Now through 2/29/2024,Downtown Seattle,Museums,Downtown,-122.3279607,47.5979061,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Corey Harris and Cedric Watson,2/29/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
JNA and Tavia Rhodes,2/29/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Julian Lage,2/29/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
MarchFourth,2/29/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Quilts,2/29/2024,Sunset Tavern,Music,Fremont / Ballard,-114.9637699,36.0254577,18.13,17,18.85,30,clear sky,clear sky
Seattle Kraken vs. Pittsburgh Penguins,2/29/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
The Human Family,2/29/2024,LANGSTON Seattle,Music,Capitol Hill / Central District,-122.30982515103054,47.6012977,4.72,2.76,7.53,89,light rain,light rain
Conjuring Up Monsterz,3/1/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Enjambre,3/1/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Fall Out Boy,3/1/2024,Climate Pledge Arena,Readings & Lectures,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Global Rhythms: Justin Adams and Mauro Durante,3/1/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Sloane Crosley with Ben Gibbard,3/1/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Supernova,3/1/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Tacoma Stars vs. Harrisburg Heat,3/1/2024,accesso ShoWare Center,Sports,South,-122.24000381780328,47.38765995,6.39,3.21,8.28,81,overcast clouds,overcast clouds
Tommy Emmanuel,3/1/2024,The Moore Theatre,Music,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Facades,Now through 3/2/2024,Harris Harvey Gallery,Visual Arts & Galleries,Downtown,,,Not found,Not found,Not found,Not found,Not found,
Conrad Tao’s Playlist,3/1/2024 through 3/2/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
SuperFolk Festival,3/1/2024 through 3/2/2024,Washington State History Museum,Museums,South,-122.43608807502436,47.2447212,6.49,3.75,8.54,83,light intensity drizzle,light intensity drizzle
Brian Culbertson,3/2/2024,The Moore Theatre,Music,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Crypta,3/2/2024,El Corazon,Music,Downtown,-78.9699948,-5.2464353,18.74,18.74,18.74,82,overcast clouds,overcast clouds
Not Fade Away – A Tribute to Buddy Holly,3/2/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Kraken vs. Edmonton Oilers,3/2/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Seattle Sounders FC vs. Austin FC,3/2/2024,Lumen Field,Sports,Pioneer Square,-122.33164431196111,47.5953459,5.22,3.26,8.03,89,overcast clouds,overcast clouds
Emerald City Comic Con,2/29/2024 through 3/3/2024,Seattle Convention Center,Festivals & Special Events,Downtown,-122.33156275066185,47.61175385,4.7,2.79,7.56,90,light rain,light rain
Freakout Weekender,3/2/2024 through 3/3/2024,The Crocodile,Music,Downtown,-122.3490734,47.6146474,4.93,3.08,7.84,89,overcast clouds,overcast clouds
Alexperience,3/3/2024,The Moore Theatre,Theatre,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Barbara McQuade with Jenny Durkan,3/3/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Briscoe,3/3/2024,Tractor Tavern,Music,Fremont / Ballard,-122.38280295082915,47.6657081,4.83,3.2,7.83,91,light rain,light rain
David Nihill,3/3/2024,The Neptune Theatre,Theatre,University District,,,Not found,Not found,Not found,Not found,Not found,
Jim Knapp Orchestra,3/3/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Meow Meow,3/3/2024,The Triple Door,Theatre,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Tacoma Stars vs. Harrisburg Heat,3/3/2024,accesso ShoWare Center,Music,South,-122.24000381780328,47.38765995,6.39,3.21,8.28,81,overcast clouds,overcast clouds
Back to Black: The Amy Winehouse Experience,3/3/2024 through 3/4/2024,Sunset Tavern,Music,Fremont / Ballard,-114.9637699,36.0254577,18.13,17,18.85,30,clear sky,clear sky
Dr. Rajiv Shah,3/4/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Empty Graves,3/5/2024,Funhouse,Music,Capitol Hill / Central District,-72.2840663,43.6576535,-1.82,-3.25,-0.27,42,overcast clouds,overcast clouds
Evan Dando (of the Lemonheads),3/5/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Eve’s Bayou – smARTfilms: Black Luxury,3/5/2024,Bainbridge Island Museum of Art,Museums,West,-122.51453295865404,47.6251322,4.7,3.14,7.77,91,overcast clouds,overcast clouds
Frond,3/5/2024,Sunset Tavern,Music,Fremont / Ballard,-114.9637699,36.0254577,18.13,17,18.85,30,clear sky,clear sky
Marc E. Bassy,3/5/2024,Neumos,Music,Capitol Hill / Central District,-122.3196108,47.613954,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Maria Jose Llergo,3/6/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Shawn Phillips,3/6/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Atlus,3/7/2024,Nectar Lounge,Music,Fremont / Ballard,-122.3538541520202,47.6523876,4.77,3.07,7.7,90,overcast clouds,overcast clouds
Critical Mass Big Band,3/7/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Rick Estrin and The Nightcats,3/7/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Theresa Caputo Live,3/7/2024,The Moore Theatre,Theatre,Downtown,-83.7207314,42.2896932,1.6,0.57,2.58,66,light rain,light rain
Calidore Quartet & Abeo Quartet,3/8/2024,415 Westlake,Music,Queen Anne / Seattle Center,-121.5253351,38.5997628,17.05,15.99,18.21,57,few clouds,few clouds
Debut,3/8/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
Holding / Movement,3/8/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
International Women’s Day Live Sessions Concert,3/8/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Karla Bonoff,3/8/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Kraken vs. Winnipeg Jets,3/8/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
X:The Life and Times of Malcolm X,2/24/2024 through 3/9/2024,Marion Oliver McCaw Hall,Music,Queen Anne / Seattle Center,-122.35038850536958,47.62397705,4.87,3.05,7.82,89,light rain,light rain
Bach St. John Passion,3/7/2024 through 3/9/2024,Benaroya Hall,Music,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Ariel Pink,3/9/2024,El Corazon,Music,Downtown,-78.9699948,-5.2464353,18.74,18.74,18.74,82,overcast clouds,overcast clouds
Coco Montoya,3/9/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Helene Grimaud,3/9/2024,Meany Center for the Performing Arts,Music,University District,,,Not found,Not found,Not found,Not found,Not found,
Josiah and the Bonnevilles,3/9/2024,Barboza,Music,Capitol Hill / Central District,-41.0275842,-13.248885,24.65,24.65,24.65,66,scattered clouds,scattered clouds
Mahan Esfahan,3/9/2024,Town Hall Seattle,Music,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Positive Fragmentation,Now through 3/10/2024,Bellevue Arts Museum,Museums,Bellevue / Eastside,55.4113864,-21.266983,25.22,25.22,26.2,89,overcast clouds,overcast clouds
Antonio M. Gomez: LINEAJES,Now through 3/10/2024,Frye Art Museum,Museums,Capitol Hill / Central District,-122.32405377084555,47.60719095,4.54,2.66,7.42,90,overcast clouds,overcast clouds
Soren Solkaer: Sort Sol,Now through 3/10/2024,National Nordic Museum,Museums,Fremont / Ballard,-122.39177949359151,47.6683615,4.85,3.25,7.64,92,light rain,light rain
Luchadora!,2/22/2024 through 3/10/2024,Seattle Children's Theatre,Theatre,Queen Anne / Seattle Center,-122.35225726215312,47.6204553,4.87,3.05,7.82,89,light rain,light rain
Earshot Golden Ear Awards Party: Jun Iida,3/11/2024,The Royal Room,Music,South Seattle,-110.9685178,32.2275723,22.18,21.03,23.42,21,clear sky,clear sky
Sasha LaPointe,3/11/2024,Town Hall Seattle,Readings & Lectures,Downtown,-122.32993774092222,47.6090191,4.7,2.79,7.56,90,light rain,light rain
Wild Cats Revealed | National Geographic Live,3/10/2024 through 3/12/2024,Benaroya Hall,Readings & Lectures,Downtown,-122.33697040702705,47.60811665,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Seattle Kraken vs. Vegas Golden Knights,3/12/2024,Climate Pledge Arena,Sports,Queen Anne / Seattle Center,-122.353990491486,47.6219014,4.87,3.05,7.82,89,light rain,light rain
Special EFX All Stars,3/12/2024,The Triple Door,Music,Downtown,-122.337685,47.6086439,4.98,3.07,7.84,89,overcast clouds,overcast clouds
Cody Bartels,3/13/2024,High Dive,Music,Fremont / Ballard,-93.631911,41.7111511,1.52,0.34,2.17,45,scattered clouds,scattered clouds
Kendra Morris,3/13/2024,Sunset Tavern,Music,Fremont / Ballard,-114.9637699,36.0254577,18.13,17,18.85,30,clear sky,clear sky
